year,month,day,hour,temp,temp_source,rhum,rhum_source,prcp,prcp_source,wdir,wdir_source,wspd,wspd_source,wpgt,wpgt_source,pres,pres_source,cldc,cldc_source,coco,coco_source
2025,1,1,0,9.0,metar,71,metar,0.0,metno_forecast,50,metar,11.0,metar,,,1006.0,metar,8,metno_forecast,3,metno_forecast
2025,1,1,1,7.0,metar,86,metar,0.0,metno_forecast,27,metno_forecast,6.0,metar,,,1004.0,metar,8,metno_forecast,3,metno_forecast
2025,1,1,2,7.0,metar,87,metar,2.2,metno_forecast,60,metar,13.0,metar,,,1003.0,metar,8,metno_forecast,9,metno_forecast
2025,1,1,3,7.0,metar,90,metar,4.3,metno_forecast,60,metar,13.0,metar,,,1002.0,metar,8,metno_forecast,9,metno_forecast
2025,1,1,4,8.0,metar,89,metar,4.7,metno_forecast,80,metar,15.0,metar,,,1000.0,metar,8,metno_forecast,9,metno_forecast
2025,1,1,5,8.0,metar,93,metar,1.3,metno_forecast,59,metno_forecast,7.0,metar,,,999.0,metar,8,metno_forecast,5,metar
2025,1,1,6,7.0,metar,93,metar,0.0,metno_forecast,300,metar,6.0,metar,,,999.0,metar,8,metno_forecast,5,metar
2025,1,1,7,8.0,metar,89,metar,0.0,metno_forecast,40,metar,7.0,metar,,,999.0,metar,8,metno_forecast,5,metar
2025,1,1,8,8.0,metar,90,metar,0.0,metno_forecast,220,metno_forecast,6.0,metar,,,999.0,metar,8,metno_forecast,5,metar
2025,1,1,9,9.0,metar,86,metar,0.0,metno_forecast,242,metno_forecast,9.0,metar,,,999.0,metar,8,metno_forecast,5,metar
2025,1,1,10,8.0,metar,86,metar,0.0,metno_forecast,240,metar,17.0,metar,,,999.0,metar,3,metno_forecast,3,metno_forecast
2025,1,1,11,8.0,metar,86,metar,0.0,metno_forecast,269,metno_forecast,9.0,metar,,,999.0,metar,2,metno_forecast,3,metno_forecast
2025,1,1,12,8.0,metar,83,metar,0.0,metno_forecast,260,metar,13.0,metar,,,999.0,metar,1,metno_forecast,2,metno_forecast
2025,1,1,13,8.0,metar,83,metar,0.0,metno_forecast,259,metno_forecast,6.0,metar,,,1000.0,metar,1,metno_forecast,1,metno_forecast
2025,1,1,14,9.0,metar,80,metar,0.0,metno_forecast,255,metno_forecast,7.0,metar,,,1000.0,metar,1,metno_forecast,1,metno_forecast
2025,1,1,15,10.0,metar,74,metar,0.0,metno_forecast,255,metno_forecast,7.0,metar,,,1001.0,metar,3,metno_forecast,2,metno_forecast
2025,1,1,16,10.0,metar,66,metar,0.0,metno_forecast,280,metar,13.0,metar,,,1000.0,metar,3,metno_forecast,3,metno_forecast
2025,1,1,17,10.0,metar,66,metar,0.0,metno_forecast,257,metno_forecast,9.0,metar,,,1000.0,metar,8,metno_forecast,3,metno_forecast
2025,1,1,18,8.0,metar,61,metar,0.0,metno_forecast,260,metar,19.0,metar,,,1001.0,metar,8,metno_forecast,3,metno_forecast
2025,1,1,19,8.0,metar,63,metar,0.0,metno_forecast,280,metar,20.0,metar,,,1002.0,metar,8,metno_forecast,3,metno_forecast
2025,1,1,20,8.0,metar,60,metar,0.2,metno_forecast,280,metar,20.0,metar,,,1002.0,metar,5,metno_forecast,7,metno_forecast
2025,1,1,21,7.0,metar,62,metar,0.2,metno_forecast,270,metar,20.0,metar,,,1004.0,metar,8,metno_forecast,17,metno_forecast
2025,1,1,22,6.0,metar,55,metar,0.0,metno_forecast,280,metar,22.0,metar,,,1005.0,metar,3,metno_forecast,3,metno_forecast
2025,1,1,23,6.0,metar,55,metar,0.0,metno_forecast,280,metar,19.0,metar,,,1006.0,metar,1,metno_forecast,2,metno_forecast
2025,1,2,0,6.0,metar,51,metar,0.0,metno_forecast,270,metar,22.0,metar,,,1007.0,metar,1,metno_forecast,1,metno_forecast
2025,1,2,1,6.0,metar,43,metar,0.0,metno_forecast,270,metar,15.0,metar,,,1008.0,metar,0,metno_forecast,1,metno_forecast
2025,1,2,2,5.0,metar,43,metar,0.0,metno_forecast,280,metar,22.0,metar,,,1008.0,metar,1,metno_forecast,1,metno_forecast
2025,1,2,3,5.0,metar,46,metar,0.0,metno_forecast,280,metar,26.0,metar,,,1009.0,metar,1,metno_forecast,2,metno_forecast
2025,1,2,4,4.0,metar,53,metar,0.0,metno_forecast,272,metno_forecast,11.0,metar,,,1009.0,metar,0,metno_forecast,1,metno_forecast
2025,1,2,5,4.0,metar,52,metar,0.0,metno_forecast,280,metar,17.0,metar,,,1009.0,metar,0,metno_forecast,1,metno_forecast
2025,1,2,6,3.0,metar,57,metar,0.0,metno_forecast,267,metno_forecast,7.0,metar,,,1010.0,metar,0,metno_forecast,1,metno_forecast
2025,1,2,7,4.0,metar,57,metar,0.0,metno_forecast,268,metno_forecast,7.0,metar,,,1010.0,metar,1,metno_forecast,1,metno_forecast
2025,1,2,8,4.0,metar,57,metar,0.0,metno_forecast,250,metar,13.0,metar,,,1011.0,metar,0,metno_forecast,1,metno_forecast
2025,1,2,9,4.0,metar,57,metar,0.0,metno_forecast,267,metno_forecast,11.0,metar,,,1011.0,metar,2,metno_forecast,1,metno_forecast
2025,1,2,10,3.0,metar,52,metar,0.0,metno_forecast,230,metar,19.0,metar,,,1012.0,metar,1,metno_forecast,2,metno_forecast
2025,1,2,11,3.0,metar,52,metar,0.0,metno_forecast,250,metar,9.0,metar,,,1012.0,metar,0,metno_forecast,1,metno_forecast
2025,1,2,12,3.0,metar,50,metar,0.0,metno_forecast,270,metar,17.0,metar,,,1013.0,metar,1,metno_forecast,1,metno_forecast
2025,1,2,13,3.0,metar,50,metar,0.0,metno_forecast,270,metno_forecast,17.3,metno_forecast,,,1014.0,metar,1,metno_forecast,2,metno_forecast
2025,1,2,14,4.0,metar,46,metar,0.0,metno_forecast,270,metar,28.0,metar,,,1014.0,metar,0,metno_forecast,1,metno_forecast
2025,1,2,15,5.0,metar,43,metar,0.0,metno_forecast,270,metar,17.0,metar,,,1014.0,metar,1,metno_forecast,1,metno_forecast
2025,1,2,16,5.0,metar,41,metar,0.0,metno_forecast,290,metar,26.0,metar,,,1014.0,metar,4,metno_forecast,1,metno_forecast
2025,1,2,17,4.9,metno_forecast,46,metno_forecast,0.0,metno_forecast,287,metno_forecast,24.1,metno_forecast,,,1013.2,metno_forecast,2,metno_forecast,3,metno_forecast
2025,1,2,18,6.0,metar,36,metar,0.0,metno_forecast,283,metno_forecast,24.5,metno_forecast,,,1013.0,metar,1,metno_forecast,2,metno_forecast
2025,1,2,19,5.0,metar,36,metar,0.0,metno_forecast,280,metar,19.0,metar,,,1013.0,metar,3,metno_forecast,2,metno_forecast
2025,1,2,20,4.0,metar,37,metar,0.0,metno_forecast,280,metar,22.0,metar,,,1014.0,metar,6,metno_forecast,2,metno_forecast
2025,1,2,21,3.0,metar,40,metar,0.0,metno_forecast,280,metar,13.0,metar,,,1015.0,metar,7,metno_forecast,3,metno_forecast
2025,1,2,22,3.0,metar,42,metar,0.0,metno_forecast,280,metar,17.0,metar,,,1015.0,metar,8,metno_forecast,3,metno_forecast
2025,1,2,23,3.0,metar,42,metar,0.0,metno_forecast,290,metar,26.0,metar,,,1015.0,metar,5,metno_forecast,3,metno_forecast
2025,1,3,0,2.0,metar,46,metar,0.0,metno_forecast,270,metno_forecast,7.0,metar,,,1015.0,metar,3,metno_forecast,3,metno_forecast
2025,1,3,1,2.0,metar,45,metar,0.0,metno_forecast,280,metar,11.0,metar,,,1015.0,metar,5,metno_forecast,2,metno_forecast
2025,1,3,2,1.0,metar,47,metar,0.0,metno_forecast,266,metno_forecast,6.0,metar,,,1015.0,metar,4,metno_forecast,3,metno_forecast
